threshold,trusted_count,fallback_count,coverage_trusted,fallback_rate,false_trust_rate,caught_degradation_rate,fallback_precision_pct_degraded,false_fallback_rate,youden_j
0.0023699999999999,18,382,0.045,0.955,0.7777777777777778,0.9622641509433962,0.9345549738219895,0.8620689655172413,0.10019518542615491
0.00251,38,362,0.095,0.905,0.8421052631578947,0.9137466307277629,0.93646408839779,0.7931034482758621,0.12064318245190075
0.00291,64,336,0.16,0.84,0.78125,0.8652291105121294,0.9553571428571429,0.5172413793103449,0.3479877312017845
0.003397199999999918,64,336,0.16,0.84,0.78125,0.8652291105121294,0.9553571428571429,0.5172413793103449,0.3479877312017845
0.0035397999999999,68,332,0.17,0.83,0.7941176470588235,0.8544474393530997,0.9548192771084337,0.5172413793103449,0.3372060600427549
0.0035499999999999,74,326,0.185,0.815,0.7837837837837838,0.8436657681940701,0.9601226993865031,0.4482758620689655,0.3953899061251046
0.00423,82,318,0.205,0.795,0.8048780487804879,0.8221024258760108,0.9591194968553459,0.4482758620689655,0.37382656380704526
0.00433,86,314,0.215,0.785,0.7906976744186046,0.816711590296496,0.964968152866242,0.3793103448275862,0.4374012454689098
0.00505,90,310,0.225,0.775,0.7777777777777778,0.8113207547169812,0.9709677419354839,0.3103448275862069,0.5009759271307743
0.00521,94,306,0.235,0.765,0.7872340425531915,0.8005390835579514,0.9705882352941176,0.3103448275862069,0.49019425597174454
0.006914799999999991,96,304,0.24,0.76,0.7916666666666666,0.7951482479784366,0.9703947368421053,0.3103448275862069,0.48480342039222973
1.5098250000000002,100,300,0.25,0.75,0.8,0.784366576819407,0.97,0.3103448275862069,0.4740217492332001
2.0101500000000003,200,200,0.5,0.5,0.9,0.5148247978436657,0.955,0.3103448275862069,0.20447997025745884
2.5,200,200,0.5,0.5,0.9,0.5148247978436657,0.955,0.3103448275862069,0.20447997025745884
2.98985,300,100,0.75,0.25,0.9133333333333333,0.261455525606469,0.97,0.10344827586206896,0.15800724974440006
2.9924009803203147,300,100,0.75,0.25,0.9133333333333333,0.261455525606469,0.97,0.10344827586206896,0.15800724974440006
3.000053921281258,400,0,1.0,0.0,0.9275,0.0,0.0,0.0,0.0
